商品名称,价格,商店名称,是否自营,累计评价数,商品地址,商品图片地址
澳大利亚 进口牛奶 德运 （Devondale ）脱脂牛奶200ml*24整箱装,79.00,,True,4.5万+,https:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS8xMjg0NTc2Lmh0bWw&log=gug1WIE-sOhvRHGo_3HDf_c8-yitdFCgeJ-LnUtaHPTDdoTk1bnp6SOGFLli4OhNvSS7RauLBNZHLxvRqHqJTJcPVqRUiF6j95jnKrx105p-rJL-Ghxf4zaFRp0FM-yDaeJrHlVQNDK3zNK1RotyTDB_GWNnOmKkdMvzItMPsQDfvXM9W1CAnqbrxZSwPTsh4WfFaBcGq1NwE8SJz_ZTx9ugUmVNWGWLbQpYnlTxzs2Kp5gNb5R14JrGbEq_PI0BP4Vyl2h8JaYzE8wINLgOK8jz2scfRZg4KUFfY3s5-mSQiIVkBHdad7QPz9AyotU9C2hsLEFtr4gD_1lq9vOjV8lWApvfhRPyWxVChg-icfT7Pi7Bl67cb4R0G1ZjLLK330h6XfNVrvceIbGouQhDq4PK3z9-qNW0AYy-mtCscnCL38zXGfAIUhiddyEren21&v=404,https://img11.360buyimg.com/n7/jfs/t12310/365/2584630682/191725/127befb2/5aa1fc7bNf49c2868.jpg
京东超市新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶250ml*24 整箱装,79.00,安佳牛奶京东自营旗舰店,True,62万+,https://item.jd.com/1070843.html,https://img13.360buyimg.com/n7/jfs/t13093/314/840299167/282486/924528c3/5a14e79eN657d5ee1.jpg
京东超市德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理全脂纯牛奶200ml*24盒,69.00,欧德堡牛奶京东自营旗舰店,True,147万+,https://item.jd.com/1385736.html,https://img11.360buyimg.com/n7/jfs/t18175/173/805186168/254101/57a4ee2/5aaa3156N4d21f895.jpg
德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理脱脂牛奶1L*12盒,119.00,欧德堡牛奶京东自营旗舰店,True,19万+,https://item.jd.com/627719.html,https://img14.360buyimg.com/n7/jfs/t17125/176/839568697/223255/9a4e438a/5aaa3019N30857411.jpg
京东超市德国进口牛奶 德亚（Weidendorf）全脂 200ml*30 整箱装,79.00,德亚牛奶京东自营旗舰店,True,34万+,https://item.jd.com/896024.html,https://img14.360buyimg.com/n7/jfs/t5725/339/9007878255/424280/8c083797/59819709Nd61baf4e.jpg
京东超市新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶1L*12 整箱装,149.00,安佳牛奶京东自营旗舰店,True,26万+,https://item.jd.com/1070841.html,https://img11.360buyimg.com/n7/jfs/t7660/279/3978144981/234782/4f4babd9/5a02cca0N7bb47989.jpg
京东超市法国原装进口 荷兰乳牛全脂纯牛奶1L*6 整箱  3.5g/100ml乳蛋白,45.00,荷兰乳牛京东自营旗舰店,True,47万+,https://item.jd.com/2658756.html,https://img11.360buyimg.com/n7/jfs/t11143/200/1293048323/103443/a08a101e/59fff200Nc46dce4f.jpg
京东超市德国 进口牛奶 Arla爱氏晨曦 全脂牛奶 200ml*24 整箱装,52.00,爱氏晨曦arla京东自营旗舰店,True,54万+,https://item.jd.com/1857014.html,https://img14.360buyimg.com/n7/jfs/t3106/217/4074848997/93532/fc9827e4/57fdf859N2f3f8dd7.jpg
京东超市澳大利亚 进口牛奶 德运（Devondale） 全脂牛奶 1L*10 整箱装,99.00,德运（Devondale）京东自营旗舰店,True,42万+,https://item.jd.com/1127466.html,https://img11.360buyimg.com/n7/jfs/t16621/175/688525604/194501/c26b153e/5aa1fc94Ndea68796.jpg
京东超市新西兰 进口牛奶 纽仕兰（Theland）全脂牛奶 250ml*24家庭装,69.00,纽仕兰（Theland）京东自营旗舰店,True,22万+,https://item.jd.com/1533902.html,https://img12.360buyimg.com/n7/jfs/t3526/295/888755633/189982/16ea21b4/5816dce5N70820f42.jpg
京东超市德国 进口牛奶 Arla爱氏晨曦 脱脂牛奶 200ml*24 整箱装,59.00,爱氏晨曦arla京东自营旗舰店,True,23万+,https://item.jd.com/3723872.html,https://img12.360buyimg.com/n7/jfs/t3310/278/65412190/101598/df2d910f/57fdf7eaN1bacf8b4.jpg
京东超市【36盒装】法国原装进口 荷兰乳牛全脂纯牛奶200ml*36 蓝钻整箱装,79.00,荷兰乳牛京东自营旗舰店,True,6.1万+,https://item.jd.com/6043103.html,https://img13.360buyimg.com/n7/jfs/t14830/241/2193737314/313663/12d0ae0f/5a72d5b1Na0080b75.jpg
京东超市澳大利亚 进口牛奶 德运 （Devondale ）全脂牛奶200ml*24整箱装（两种包装随机发货）,79.00,德运（Devondale）京东自营旗舰店,True,13万+,https://item.jd.com/1284568.html,https://img13.360buyimg.com/n7/jfs/t15319/206/2447535651/194958/c2145cdc/5aa1fcbdN6f1a4431.jpg
京东超市德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理全脂纯牛奶1L*12盒,125.00,欧德堡牛奶京东自营旗舰店,True,103万+,https://item.jd.com/627718.html,https://img13.360buyimg.com/n7/jfs/t17596/174/793730427/193892/4f833dc1/5aaa2fb6Nb7da4ad2.jpg
京东超市德国 进口牛奶 Arla爱氏晨曦 全脂牛奶 1L*12 整箱装,99.00,爱氏晨曦arla京东自营旗舰店,True,43万+,https://item.jd.com/1307900.html,https://img10.360buyimg.com/n7/jfs/t3790/77/2261977139/151393/640afb1b/5848c216Nde2f1980.jpg
京东超市新西兰进口 纽麦福（Meadow fresh）进口纯牛奶 全脂250ml*24盒/箱,79.00,纽麦福京东自营旗舰店,True,23万+,https://item.jd.com/1431626.html,https://img11.360buyimg.com/n7/jfs/t19600/31/1041308438/122944/aac8ba5f/5ab9aecfNc5048da2.jpg
京东超市德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理脱脂牛奶200ml*24盒,69.00,欧德堡牛奶京东自营旗舰店,True,21万+,https://item.jd.com/2816155.html,https://img10.360buyimg.com/n7/jfs/t14668/119/2581464536/127949/e04e3ea5/5aaa30bcN8a3f9d13.jpg
京东超市澳大利亚 进口牛奶 哈威鲜（(Harvey fresh)）牛奶 全脂纯牛奶 1L*12盒,89.00,,True,17万+,https://item.jd.com/2118943.html,https://img13.360buyimg.com/n7/jfs/t2440/343/989769410/177959/750ffe56/5639c784N9d2dcc2a.jpg
京东超市澳大利亚进口纯牛奶 德亚（Weidendorf）全脂 250ml*24,59.00,德亚牛奶京东自营旗舰店,True,11万+,https://item.jd.com/2113525.html,https://img10.360buyimg.com/n7/jfs/t3208/205/5733261599/418643/a9503e81/587ecddfN748feb09.jpg
京东超市德国进口牛奶 德亚（Weidendorf）全脂 1L*12,109.00,德亚牛奶京东自营旗舰店,True,12万+,https://item.jd.com/896020.html,https://img10.360buyimg.com/n7/jfs/t4078/354/1530313308/241567/64ca16f6/587ee308Nde9dd819.jpg
全球购澳洲进口 澳伯顿（So Natural）UHT进口牛奶 全脂 1Lx12箱装,89.00,freedomFOODS全球购自营旗舰店,True,7.4万+,https://item.jd.com/1947734.html,https://img14.360buyimg.com/n7/jfs/t6445/205/1567277939/185780/b1c3931b/5954b5e2Nd173c6ab.jpg
京东超市德国进口 甘蒂牧场（MUH）牧牌 全脂纯牛奶 200ml*24盒 进口纯牛奶 整箱,69.00,甘蒂牧场京东自营旗舰店,True,6.3万+,https://item.jd.com/1803729.html,https://img14.360buyimg.com/n7/jfs/t19288/210/834616928/399782/af33360c/5aaf09e6N0d9350f9.jpg
京东超市德国进口牛奶 德亚（Weidendorf）脱脂 200ml*30 整箱装（新老包装随机发货）,79.00,德亚牛奶京东自营旗舰店,True,9.6万+,https://item.jd.com/2149294.html,https://img14.360buyimg.com/n7/jfs/t5680/72/9037842987/432113/f88862d4/598197c8N8b0c3d0b.jpg
京东超市荷兰原装进口 荷高（Globemilk） 全脂纯牛奶200ml*24整箱装 3.6%乳蛋白,79.00,荷高（Globemilk）京东自营旗舰店,True,3.4万+,https://item.jd.com/2858178.html,https://img13.360buyimg.com/n7/jfs/t2734/225/1452266875/370685/813ccc76/573ec9f1N9f410ba6.jpg
京东超市德国进口牛奶 德亚（Weidendorf）全脂 1L*6 礼盒装,59.00,德亚牛奶京东自营旗舰店,True,9.8万+,https://item.jd.com/625465.html,https://img10.360buyimg.com/n7/jfs/t3280/231/5026190026/577921/9cf14456/5865d1d7N714a93c5.jpg
京东超市新西兰原装进口儿童牛奶 安佳（Anchor）金装儿童牛奶 调制乳 190ml*27 整箱装,109.00,安佳牛奶京东自营旗舰店,True,7.6万+,https://item.jd.com/1546827.html,https://img12.360buyimg.com/n7/jfs/t4096/158/1151316360/351027/2a5b8868/586b746aN24203ea2.jpg
京东超市波兰原装进口牛奶 兰雀Laciate脱脂0%fat纯牛奶1L*12整箱（新老包装随机发货）,89.00,兰雀Laciate牛奶京东自营旗舰店,True,1.6万+,https://item.jd.com/4614835.html,https://img10.360buyimg.com/n7/jfs/t16936/277/1285382129/158915/bff6514c/5ac46047Ncebb7f1b.jpg
京东超市德国进口Arla爱氏晨曦 全脂牛奶 250ml*24 整箱装,65.00,爱氏晨曦arla京东自营旗舰店,True,5.7万+,https://item.jd.com/2732420.html,https://img10.360buyimg.com/n7/jfs/t3121/37/6808577850/307761/a10c7e58/58ad21fbN4dd79c80.jpg
芬兰原装进口 valio无乳糖全脂奶粉 儿童学生白领成人中老年人零乳糖易吸收高蛋白高钙 盒装350g,79.00,,True,9900+,https:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS81NDk1Njk0Lmh0bWw&log=gug1WIE-sOhvRHGo_3HDf_c8-yitdFCgeJ-LnUtaHPTrWOJJlpE6yisJZLgH2w1laE0S7DUY1Ww-koHu67pySCnw173_Q0cpwYGIJS_ikVz0exOdV_MdxuPNoeOYRniNdUKHXnW-qrwIBUIP5Ths0DoqrI8_c1BguQCV3xJinNXqcTR22TmtdrJy8EDp5l8gI1DXuZ2mOMmfvM4Qzy7ApS2vcLeytl0CUtMGJ1-hq3NQI5rT_lkZrdVMDYCyy3x_pF6wobo6j91L4lqbWNhqEmBPICo0hS1XQQhiKjQUTwiYgEig53z8dNyDZsLBURXZ2hPQGisn51nB1vGNQvPd0dnFg0XAf-1LUOoaoJXj6Sq67P9pcXoE5s7QON_WHnustWTv-wXgTDEulNR-9_8StkRAMJ-aTrMDtiVh7bwVupR1K4G3bnRRvkJaTSZqP3Tl&v=404,https://img14.360buyimg.com/n7/jfs/t8674/68/1886357931/195292/7fb928bf/59c0d1d4N53a69ff3.jpg
京东超市新西兰 进口牛奶 纽仕兰牧场（Theland）部分脱脂牛奶 250ml*24家庭装,79.00,纽仕兰（Theland）京东自营旗舰店,True,5.1万+,https://item.jd.com/2627831.html,https://img11.360buyimg.com/n7/jfs/t3484/155/885645398/583460/f2632d90/5816e47bN92cc0421.jpg
